time(ms),count,cpm,uSv/h,uSv/hError
13921631,0,2.100,0.040,0.006
13929404,0,2.150,0.041,0.006
13968171,0,2.200,0.041,0.006
13982347,0,2.250,0.042,0.006
13984207,0,2.300,0.043,0.006
13995047,0,2.350,0.044,0.006
14033189,0,2.250,0.042,0.006
14047785,0,2.250,0.042,0.006
14055641,0,2.250,0.042,0.006
14071050,0,2.300,0.043,0.006
14091694,0,2.350,0.044,0.006
14095064,0,2.400,0.045,0.007
14108147,0,2.450,0.046,0.007
14116740,0,2.500,0.047,0.007
14118230,0,2.550,0.048,0.007
14124531,0,2.550,0.048,0.007
14151070,0,2.600,0.049,0.007
14158141,0,2.650,0.050,0.007
14160374,0,2.700,0.051,0.007
14160727,0,2.750,0.052,0.007
14199529,0,2.700,0.051,0.007
14209270,0,2.700,0.051,0.007
14219285,0,2.750,0.052,0.007
14231272,0,2.750,0.052,0.007
14246218,0,2.750,0.052,0.007
14295896,0,2.750,0.052,0.007
14362145,0,2.600,0.049,0.007
14423059,0,2.500,0.047,0.007
14442144,0,2.450,0.046,0.007
14461557,0,2.500,0.047,0.007
14486980,0,2.500,0.047,0.007
14504606,0,2.450,0.046,0.007
14528647,0,2.500,0.047,0.007
14556798,0,2.500,0.047,0.007
14578558,0,2.500,0.047,0.007
14601254,0,2.500,0.047,0.007
14614305,0,2.550,0.048,0.007
14619909,0,2.600,0.049,0.007
14651633,0,2.550,0.048,0.007
14658668,0,2.550,0.048,0.007
14679640,0,2.550,0.048,0.007
14724608,0,2.500,0.047,0.007
14745538,0,2.550,0.048,0.007
14786292,0,2.550,0.048,0.007
14874873,0,2.500,0.047,0.007
14879369,0,2.550,0.048,0.007
14899931,0,2.550,0.048,0.007
14910822,0,2.550,0.048,0.007
14919780,0,2.600,0.049,0.007
14975228,0,2.600,0.049,0.007
14975955,0,2.650,0.050,0.007
15032399,0,2.600,0.049,0.007
15060918,0,2.600,0.049,0.007
15073218,0,2.650,0.050,0.007
15081079,0,2.700,0.051,0.007
15084451,0,2.700,0.051,0.007
15118937,0,2.750,0.052,0.007
15142927,0,2.700,0.051,0.007
15146665,0,2.750,0.052,0.007
15203604,0,2.600,0.049,0.007
15249361,0,2.550,0.048,0.007
15286995,0,2.550,0.048,0.007
15386698,0,2.100,0.040,0.006
15397486,0,2.100,0.040,0.006
15411994,0,2.100,0.040,0.006
15412352,0,2.150,0.041,0.006
15412667,0,2.200,0.041,0.006
15464866,0,2.150,0.041,0.006
15512622,0,2.150,0.041,0.006
15530174,0,2.200,0.041,0.006
15694705,0,2.000,0.038,0.006
15716429,0,2.000,0.038,0.006
15786304,0,1.900,0.036,0.006
15794606,0,1.950,0.037,0.006
15819785,0,1.850,0.035,0.006
15821256,0,1.900,0.036,0.006
15828044,0,1.950,0.037,0.006
15842986,0,2.000,0.038,0.006
15853097,0,2.000,0.038,0.006
15891771,0,1.950,0.037,0.006
15936733,0,1.950,0.037,0.006
15995743,0,1.900,0.036,0.006
16038857,0,1.950,0.037,0.006
16080454,0,1.900,0.036,0.006
16101690,0,1.900,0.036,0.006
16116338,0,1.900,0.036,0.006
16138861,0,1.900,0.036,0.006
16175901,0,1.850,0.035,0.006
16234474,0,1.850,0.035,0.006
16238201,0,1.900,0.036,0.006
16266822,0,1.900,0.036,0.006
16281440,0,1.850,0.035,0.006
16310626,0,1.850,0.035,0.006
16315034,0,1.850,0.035,0.006
16357166,0,1.800,0.034,0.006
16374707,0,1.850,0.035,0.006
16379529,0,1.900,0.036,0.006
16380993,0,1.950,0.037,0.006
16388734,0,2.000,0.038,0.006
16431102,0,2.000,0.038,0.006
16477993,0,2.000,0.038,0.006
16499661,0,2.000,0.038,0.006
16587834,0,2.000,0.038,0.006
16610553,0,1.850,0.035,0.006
16699789,0,1.850,0.035,0.006
16702785,0,1.900,0.036,0.006
16711361,0,1.900,0.036,0.006
16746039,0,1.900,0.036,0.006
16752425,0,1.950,0.037,0.006
16755004,0,2.000,0.038,0.006
16757200,0,2.050,0.039,0.006
16788203,0,2.100,0.040,0.006
16852275,0,2.150,0.041,0.006
16880166,0,2.200,0.041,0.006
16882780,0,2.250,0.042,0.006
16890950,0,2.250,0.042,0.006
16956917,0,2.250,0.042,0.006
16987101,0,2.250,0.042,0.006
17012112,0,2.250,0.042,0.006
17034113,0,2.150,0.041,0.006
17059483,0,2.100,0.040,0.006
17097606,0,2.100,0.040,0.006
17123738,0,2.150,0.041,0.006
17128604,0,2.200,0.041,0.006
17136437,0,2.200,0.041,0.006
17143468,0,2.250,0.042,0.006
17199944,0,2.250,0.042,0.006
17201403,0,2.300,0.043,0.006
17227932,0,2.350,0.044,0.006
17277575,0,2.350,0.044,0.006
17307443,0,2.300,0.043,0.006
17396694,0,2.200,0.041,0.006
17433982,0,2.200,0.041,0.006
17441078,0,2.200,0.041,0.006
17458251,0,2.250,0.042,0.006
17509825,0,2.150,0.041,0.006
17531215,0,2.150,0.041,0.006
17566792,0,2.150,0.041,0.006
17625653,0,2.000,0.038,0.006
17630090,0,2.000,0.038,0.006
17637221,0,2.050,0.039,0.006
17646163,0,2.100,0.040,0.006
17646913,0,2.200,0.041,0.006
17662429,0,2.250,0.042,0.006
17668276,0,2.300,0.043,0.006
17687229,0,2.300,0.043,0.006
17691648,0,2.350,0.044,0.006
17711405,0,2.350,0.044,0.006
17815810,0,2.300,0.043,0.006
17858558,0,2.350,0.044,0.006
17873190,0,2.400,0.045,0.007
17907667,0,2.350,0.044,0.006
17929782,0,2.350,0.044,0.006
17972402,0,2.200,0.041,0.006
17989598,0,2.200,0.041,0.006
17994078,0,2.250,0.042,0.006
18002312,0,2.300,0.043,0.006
18007149,0,2.350,0.044,0.006
18018426,0,2.350,0.044,0.006
18065279,0,2.350,0.044,0.006
18154051,0,2.250,0.042,0.006
18288972,0,2.050,0.039,0.006
18351350,0,1.850,0.035,0.006
18361484,0,1.900,0.036,0.006
18381321,0,1.950,0.037,0.006
18418063,0,1.900,0.036,0.006
18441920,0,1.900,0.036,0.006
18499746,0,1.900,0.036,0.006
18504575,0,1.900,0.036,0.006
18511216,0,1.950,0.037,0.006
18512307,0,2.000,0.038,0.006
18541364,0,2.050,0.039,0.006
18548434,0,2.100,0.040,0.006
18563306,0,2.150,0.041,0.006
18567006,0,2.200,0.041,0.006
18611648,0,2.200,0.041,0.006
18612752,0,2.250,0.042,0.006
18644030,0,2.200,0.041,0.006
18666327,0,2.200,0.041,0.006
18688309,0,2.250,0.042,0.006
18696098,0,2.300,0.043,0.006
18709491,0,2.300,0.043,0.006
18720313,0,2.350,0.044,0.006
18727350,0,2.350,0.044,0.006
18751281,0,2.400,0.045,0.007
18787129,0,2.400,0.045,0.007
18838724,0,2.300,0.043,0.006
18842088,0,2.300,0.043,0.006
18856997,0,2.250,0.042,0.006
18895815,0,2.100,0.040,0.006
18912735,0,2.100,0.040,0.006
18926108,0,2.150,0.041,0.006
18954113,0,2.200,0.041,0.006
18955568,0,2.250,0.042,0.006
18968957,0,2.300,0.043,0.006
18978674,0,2.350,0.044,0.006
19022418,0,2.350,0.044,0.006
19056768,0,2.350,0.044,0.006
19057842,0,2.400,0.045,0.007
19134556,0,2.300,0.043,0.006
19146146,0,2.350,0.044,0.006
19159967,0,2.400,0.045,0.007
19257108,0,2.250,0.042,0.006
19268648,0,2.250,0.042,0.006
19288788,0,2.300,0.043,0.006
19341518,0,2.350,0.044,0.006
19355321,0,2.300,0.043,0.006
19371027,0,2.350,0.044,0.006
19390495,0,2.400,0.045,0.007
19458037,0,2.450,0.046,0.007
19525480,0,2.450,0.046,0.007
19527710,0,2.500,0.047,0.007
19539701,0,2.550,0.048,0.007
19553970,0,2.550,0.048,0.007
19561103,0,2.550,0.048,0.007
19617854,0,2.500,0.047,0.007
19646679,0,2.500,0.047,0.007
19658249,0,2.550,0.048,0.007
